figure_id,case_id,phase_or_track,date_token,timestamp_utc,hour,model_name,model_label,comparison_track_id,comparison_track_label,run_type,view_type,variant,figure_title,relative_path,file_path,pixel_width,pixel_height,short_plain_language_interpretation,source_paths,notes,legacy_debug_only,pygnome_role,status_key,status_label,status_role,status_reportability,status_official_status,status_frozen_status,status_provenance,status_panel_text,status_dashboard_summary
case_2016_09_01__prototype_2016__72h__opendrift_p90__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-04,2016-09-04T00:00:00Z,72,opendrift_p90,OpenDrift p90 threshold,ensemble_p90,OpenDrift p90 threshold,single_forecast,single,paper,CASE_2016-09-01 | T+72 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__opendrift_p90__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__opendrift_p90__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-01 at 72 h showing the OpenDrift p90 threshold exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/ensemble_p90_overlay_2016-09-04T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift p90 threshold vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_01__prototype_2016__72h__pygnome__single,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-04,2016-09-04T00:00:00Z,72,pygnome,PyGNOME deterministic,deterministic,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-01 | T+72 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__pygnome__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__72h__pygnome__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-01 at 72 h showing the PyGNOME deterministic exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-04T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. PyGNOME deterministic vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_01__prototype_2016__24_48_72h__opendrift_vs_pygnome__board,CASE_2016-09-01,prototype_pygnome_similarity_summary,2016-09-02_to_2016-09-04,2016-09-02T00:00:00Z;2016-09-03T00:00:00Z;2016-09-04T00:00:00Z,,opendrift_vs_pygnome,OpenDrift deterministic/p50/p90 vs PyGNOME deterministic,deterministic;ensemble_p50;ensemble_p90,OpenDrift deterministic;OpenDrift p50 threshold;OpenDrift p90 threshold,comparison_board,board,slide,CASE_2016-09-01 | 24/48/72 h legacy Phase 3A comparator board,output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24_48_72h__opendrift_vs_pygnome__board.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_01__prototype_2016__24_48_72h__opendrift_vs_pygnome__board.png,2736,2232,"Prototype 2016 support board for CASE_2016-09-01 showing paired 24 h, 48 h, and 72 h OpenDrift deterministic, OpenDrift p50, OpenDrift p90, and deterministic PyGNOME exact footprint views on the same benchmark grid with canonical Mindoro land/shoreline context and locator context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/footprint_overlay_2016-09-02T00-00-00Z.png | output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/control/control_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p50/ensemble_p50_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p50/ensemble_p50_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/ensemble_p50_overlay_2016-09-02T00-00-00Z.png | output/CASE_2016-09-01/benchmark/ensemble_p50/ensemble_p50_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p50/ensemble_p50_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p50/ensemble_p50_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p50/ensemble_p50_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/qa/ensemble_p90_overlay_2016-09-02T00-00-00Z.png | output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/ensemble_p90/ensemble_p90_density_norm_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-02T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-03T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_footprint_mask_2016-09-04T00-00-00Z.tif | output/CASE_2016-09-01/benchmark/pygnome/pygnome_density_norm_2016-09-04T00-00-00Z.tif | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-01/source_point_metadata.geojson,"Legacy/debug support only transport comparator board with canonical Mindoro land/shoreline context, on-panel FSS/KL annotations, and with a provenance source-point star. Deterministic OpenDrift plus legacy support-only p50/p90 tracks vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__24h__opendrift__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-07,2016-09-07T00:00:00Z,24,opendrift,OpenDrift deterministic,deterministic,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 24 h showing the OpenDrift deterministic exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/control/control_footprint_mask_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/control/control_density_norm_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-07T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift deterministic vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__24h__opendrift_p50__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-07,2016-09-07T00:00:00Z,24,opendrift_p50,OpenDrift p50 threshold,ensemble_p50,OpenDrift p50 threshold,single_forecast,single,paper,CASE_2016-09-06 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift_p50__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift_p50__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 24 h showing the OpenDrift p50 threshold exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/ensemble_p50/ensemble_p50_footprint_mask_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/ensemble_p50/ensemble_p50_density_norm_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/ensemble_p50_overlay_2016-09-07T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift p50 threshold vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__24h__opendrift_p90__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-07,2016-09-07T00:00:00Z,24,opendrift_p90,OpenDrift p90 threshold,ensemble_p90,OpenDrift p90 threshold,single_forecast,single,paper,CASE_2016-09-06 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift_p90__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__opendrift_p90__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 24 h showing the OpenDrift p90 threshold exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/ensemble_p90/ensemble_p90_footprint_mask_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/ensemble_p90/ensemble_p90_density_norm_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/ensemble_p90_overlay_2016-09-07T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift p90 threshold vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__24h__pygnome__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-07,2016-09-07T00:00:00Z,24,pygnome,PyGNOME deterministic,deterministic,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+24 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__pygnome__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__24h__pygnome__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 24 h showing the PyGNOME deterministic exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/pygnome/pygnome_footprint_mask_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/pygnome/pygnome_density_norm_2016-09-07T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-07T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. PyGNOME deterministic vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__48h__opendrift__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-08,2016-09-08T00:00:00Z,48,opendrift,OpenDrift deterministic,deterministic,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+48 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 48 h showing the OpenDrift deterministic exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/control/control_footprint_mask_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/control/control_density_norm_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-08T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift deterministic vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__48h__opendrift_p50__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-08,2016-09-08T00:00:00Z,48,opendrift_p50,OpenDrift p50 threshold,ensemble_p50,OpenDrift p50 threshold,single_forecast,single,paper,CASE_2016-09-06 | T+48 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift_p50__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift_p50__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 48 h showing the OpenDrift p50 threshold exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/ensemble_p50/ensemble_p50_footprint_mask_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/ensemble_p50/ensemble_p50_density_norm_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/ensemble_p50_overlay_2016-09-08T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift p50 threshold vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__48h__opendrift_p90__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-08,2016-09-08T00:00:00Z,48,opendrift_p90,OpenDrift p90 threshold,ensemble_p90,OpenDrift p90 threshold,single_forecast,single,paper,CASE_2016-09-06 | T+48 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift_p90__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__opendrift_p90__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 48 h showing the OpenDrift p90 threshold exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/ensemble_p90/ensemble_p90_footprint_mask_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/ensemble_p90/ensemble_p90_density_norm_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/ensemble_p90_overlay_2016-09-08T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift p90 threshold vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__48h__pygnome__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-08,2016-09-08T00:00:00Z,48,pygnome,PyGNOME deterministic,deterministic,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+48 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__pygnome__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__48h__pygnome__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 48 h showing the PyGNOME deterministic exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/pygnome/pygnome_footprint_mask_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/pygnome/pygnome_density_norm_2016-09-08T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-08T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. PyGNOME deterministic vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__72h__opendrift__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-09,2016-09-09T00:00:00Z,72,opendrift,OpenDrift deterministic,deterministic,OpenDrift deterministic,single_forecast,single,paper,CASE_2016-09-06 | T+72 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__72h__opendrift__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__72h__opendrift__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 72 h showing the OpenDrift deterministic exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/control/control_footprint_mask_2016-09-09T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/control/control_density_norm_2016-09-09T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/footprint_overlay_2016-09-09T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift deterministic vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__72h__opendrift_p50__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-09,2016-09-09T00:00:00Z,72,opendrift_p50,OpenDrift p50 threshold,ensemble_p50,OpenDrift p50 threshold,single_forecast,single,paper,CASE_2016-09-06 | T+72 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__72h__opendrift_p50__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__72h__opendrift_p50__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 72 h showing the OpenDrift p50 threshold exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/ensemble_p50/ensemble_p50_footprint_mask_2016-09-09T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/ensemble_p50/ensemble_p50_density_norm_2016-09-09T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/ensemble_p50_overlay_2016-09-09T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift p50 threshold vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
case_2016_09_06__prototype_2016__72h__opendrift_p90__single,CASE_2016-09-06,prototype_pygnome_similarity_summary,2016-09-09,2016-09-09T00:00:00Z,72,opendrift_p90,OpenDrift p90 threshold,ensemble_p90,OpenDrift p90 threshold,single_forecast,single,paper,CASE_2016-09-06 | T+72 h,output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__72h__opendrift_p90__single.png,/app/output/prototype_2016_pygnome_similarity/figures/case_2016_09_06__prototype_2016__72h__opendrift_p90__single.png,1512,2196,"Prototype 2016 support figure for CASE_2016-09-06 at 72 h showing the OpenDrift p90 threshold exact benchmark footprint with faint density support context and canonical Mindoro land/shoreline context. PyGNOME remains comparator-only, not truth, and this is not final Chapter 3 evidence.",output/CASE_2016-09-06/benchmark/ensemble_p90/ensemble_p90_footprint_mask_2016-09-09T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/ensemble_p90/ensemble_p90_density_norm_2016-09-09T00-00-00Z.tif | output/CASE_2016-09-06/benchmark/qa/ensemble_p90_overlay_2016-09-09T00-00-00Z.png | data_processed/grids/land_mask.tif | data_processed/grids/shoreline_segments.gpkg | config/publication_map_labels_mindoro.csv | data/arcgis/CASE_2016-09-06/source_point_metadata.geojson,"Legacy/debug support only transport comparator with canonical Mindoro land/shoreline context, a small locator inset, footprint-first rendering, and with a provenance source-point star. OpenDrift p90 threshold vs deterministic PyGNOME.",True,comparator_only,prototype_2016_support,Prototype 2016 legacy debug support,support_only_debug,support_only_not_final_evidence,legacy_support_only_not_official,not_final_phase1_study,Legacy/debug regression lane preserved for reproducibility only.,Legacy debug support only; comparator-only and not final Phase 1 evidence.,Legacy debug support lane; not the preferred prototype lane.
